Time,iGlob,tOut,vpOut,co2Out,wind,tSky,tSoOut,dayRadSum,isDay,isDaySmooth,hElevation
Time since start of data,Outdoor global solar radiation,Outdoor temperature,Outdoor vapor pressure,Outdoor CO2 concentration,Outdoor wind speed,Apparent sky temperature,Soil temperature at 2 m depth,Daily sum of outdoor global solar radiation,Switch determining if it is day or night. Used for control purposes,Smooth switch determining if it is day or night. Used for control purposes,Elevation at location
s,W m**-2,°C,Pa,mg m**-3,m s**-1,°C,°C,MJ m**-2,-,-,m above sea level
259200,0.0,8.0,695.6706644368592,801.2520678776825,3.6,-24.13580568686018,2.3254097302847088,10.2852,0.0,0.0,1612.0
262800,0.0,10.0,783.6442567355517,795.5925088603584,4.6,-24.42186496924782,2.323185324492121,10.2852,0.0,0.0,1612.0
266400,0.0,5.0,531.3068935923459,809.8940100083065,1.5,-24.708914651145108,2.3209646644699786,10.2852,0.0,0.0,1612.0
270000,0.0,1.0,334.80845561994323,821.710811175672,3.1,-24.996962770626425,2.3187477513609887,10.2852,0.0,0.0,1612.0
273600,0.0,0.0,335.92900000000003,824.719087987591,2.1,-25.286017468759184,2.3165345863059255,10.2852,0.0,0.0,1612.0
277200,0.0,0.0,335.92900000000003,824.719087987591,0.0,-25.86717969110225,2.3143251704436283,10.2852,0.0,0.0,1612.0
280800,0.0,-2.0,343.02003904754076,830.8022086808427,0.0,-26.159304028887618,2.312119504911016,10.2852,0.0,0.0,1612.0
284400,0.0,1.0,334.80845561994323,821.710811175672,2.6,-26.159304028887618,2.3099175908430727,10.2852,0.0,0.0,1612.0
288000,83.0,2.0,338.4917282097648,818.7244008134126,2.1,-26.159304028887618,2.307719429372858,10.2852,1.0,1.0,1612.0
291600,226.0,1.4,304.01996683377683,820.513636437117,3.6,-25.286017468759184,2.305525021631489,10.2852,1.0,1.0,1612.0
295200,364.0,3.5,439.17104902539,814.2852661623367,2.6,-24.13580568686018,2.3033343687481613,10.2852,1.0,1.0,1612.0
298800,459.0,6.5,521.7000284729504,805.5498619124279,0.0,-22.72009092481335,2.301147471850139,10.2852,1.0,1.0,1612.0
302400,494.0,7.9,520.8816448518421,801.5371602341594,0.0,-20.503681005645547,2.2989643320627433,10.2852,1.0,1.0,1612.0
306000,469.0,11.1,461.0565570152744,792.513698799685,2.6,-19.687365623982885,2.2967849505093705,10.2852,1.0,1.0,1612.0
309600,385.0,15.0,407.5995908498115,781.7873291126513,3.6,-18.878862105720486,2.294609328311485,10.2852,1.0,1.0,1612.0
313200,255.0,10.9,519.9897493522265,793.0717087970797,2.6,-18.344114382954416,2.2924374665886074,10.2852,1.0,1.0,1612.0
316800,106.0,8.8,542.2812248387278,798.9786092704752,0.0,-18.61106696063706,2.2902693664583307,10.2852,1.0,1.0,1612.0
320400,16.0,4.4,526.2544530501185,811.6448167314375,0.0,-19.417005096340205,2.28810502903631,10.2852,1.0,1.0,1612.0
324000,0.0,2.4,522.3952764409975,817.535905947416,2.1,-19.95859408558755,2.285944455436267,10.2852,0.0,0.0,1612.0
327600,0.0,1.2,472.84790603258244,821.1117874387115,1.5,-20.503681005645547,2.283787646769979,10.2852,0.0,0.0,1612.0
331200,0.0,4.0,609.1996007535776,812.8162326675464,2.1,-20.777552756643928,2.2816346041472935,10.2852,0.0,0.0,1612.0
334800,0.0,6.0,700.077228159228,806.9927239255256,2.1,-22.439810789428606,2.2794853286761194,10.2852,0.0,0.0,1612.0
338400,0.0,3.0,514.8002005303734,815.7596193511152,1.5,-22.72009092481335,2.2773398214624194,10.2852,0.0,0.0,1612.0
342000,0.0,4.0,536.0956486631483,812.8162326675464,0.0,-22.72009092481335,2.2751980836102286,10.2852,0.0,0.0,1612.0
345600,0.0,3.0,499.65901816183305,815.7596193511152,2.1,-21.052319029241545,2.273060116221637,9.6372,0.0,0.0,1612.0
349200,0.0,2.0,366.69937222724525,818.7244008134126,1.5,-22.160467526975197,2.2709259203967873,9.6372,0.0,0.0,1612.0
352800,0.0,2.0,338.4917282097648,818.7244008134126,1.5,-22.72009092481335,2.268795497233895,9.6372,0.0,0.0,1612.0
356400,0.0,1.0,334.80845561994323,821.710811175672,0.0,-23.850728867132347,2.2666688478292247,9.6372,0.0,0.0,1612.0
360000,0.0,2.0,338.4917282097648,818.7244008134126,2.6,-24.708914651145108,2.264545973277106,9.6372,0.0,0.0,1612.0
363600,0.0,1.0,334.80845561994323,821.710811175672,0.0,-25.286017468759184,2.2624268746699157,9.6372,0.0,0.0,1612.0
367200,0.0,0.0,335.92900000000003,824.719087987591,0.0,-25.86717969110225,2.2603115530980977,9.6372,0.0,0.0,1612.0
370800,0.0,0.0,335.92900000000003,824.719087987591,0.0,-26.452468576296866,2.2582000096501504,9.6372,0.0,0.0,1612.0
374400,86.0,2.0,338.4917282097648,818.7244008134126,1.5,-26.74668201730688,2.2560922454126215,9.6372,1.0,1.0,1612.0
378000,234.0,2.3,360.2057337001757,817.8327060584877,0.0,-26.159304028887618,2.2539882614701217,9.6372,1.0,1.0,1612.0
381600,374.0,8.0,481.618152302441,801.2520678776825,1.5,-25.286017468759184,2.2518880589053136,9.6372,1.0,1.0,1612.0
385200,462.0,10.0,514.2665434827059,795.5925088603584,0.0,-24.42186496924782,2.2497916387989125,9.6372,1.0,1.0,1612.0
388800,487.0,11.0,458.01496965976736,792.7926056090462,0.0,-20.777552756643928,2.2476990022296874,9.6372,1.0,1.0,1612.0
392400,443.0,13.0,343.238029345395,787.2515075443316,0.0,-19.95859408558755,2.245610150274466,9.6372,1.0,1.0,1612.0
